variante,passe,t_s,ms
temoin,1,0.90,29.8
temoin,1,2.02,60.6
temoin,1,5.67,69.6
reference,1,0.89,29.4
sans_lumiere2d,1,0.90,30.6
sans_lumiere2d,1,14.13,28.7
sans_lumiere2d,1,25.14,26.5
sans_ombre2d,1,0.91,33.6
sans_fumee2d,1,0.91,34.1
sans_volume,1,0.90,33.9
sans_lueurs,1,0.89,26.2
sans_lueurs,1,49.96,26.6
sans_lueurs,1,55.02,26.4
couches2,1,0.89,36.5
tout,1,0.90,32.8
temoin,2,0.89,31.8
temoin,2,24.95,30.9
reference,2,0.92,48.0
reference,2,4.51,25.7
reference,2,24.63,27.8
reference,2,39.08,25.4
reference,2,39.23,25.6
sans_lumiere2d,2,0.91,38.2
sans_ombre2d,2,0.89,26.1
sans_ombre2d,2,12.71,26.0
sans_ombre2d,2,12.74,27.2
sans_ombre2d,2,12.77,29.3
sans_ombre2d,2,12.79,27.0
sans_ombre2d,2,12.82,27.7
sans_ombre2d,2,12.85,31.5
sans_ombre2d,2,12.89,34.0
sans_ombre2d,2,12.91,29.2
sans_ombre2d,2,12.95,33.0
sans_ombre2d,2,12.98,31.9
sans_ombre2d,2,13.01,33.2
sans_ombre2d,2,13.04,31.5
sans_ombre2d,2,13.08,31.5
sans_ombre2d,2,13.11,31.2
sans_ombre2d,2,13.14,31.2
sans_ombre2d,2,13.17,27.3
sans_ombre2d,2,13.19,25.5
sans_ombre2d,2,25.16,53.9
sans_ombre2d,2,31.46,30.9
sans_ombre2d,2,31.50,36.2
sans_ombre2d,2,31.58,78.9
sans_ombre2d,2,31.70,126.3
sans_ombre2d,2,31.84,133.1
sans_ombre2d,2,31.95,115.5
sans_ombre2d,2,32.03,75.7
sans_ombre2d,2,32.08,50.0
sans_ombre2d,2,32.13,50.0
sans_ombre2d,2,32.16,35.5
sans_ombre2d,2,32.20,41.7
sans_ombre2d,2,32.24,40.0
sans_ombre2d,2,32.27,29.1
sans_ombre2d,2,32.30,30.7
sans_ombre2d,2,32.35,27.0
sans_ombre2d,2,32.38,26.7
sans_ombre2d,2,32.40,26.7
sans_ombre2d,2,32.43,26.7
sans_ombre2d,2,50.89,25.4
sans_ombre2d,2,50.92,27.7
sans_ombre2d,2,50.94,27.3
sans_ombre2d,2,50.97,28.8
sans_ombre2d,2,51.00,29.2
sans_ombre2d,2,51.03,28.0
sans_ombre2d,2,51.06,31.0
sans_ombre2d,2,51.10,33.3
sans_ombre2d,2,51.13,31.1
sans_ombre2d,2,51.16,35.6
sans_ombre2d,2,51.20,34.2
sans_ombre2d,2,51.23,34.9
sans_ombre2d,2,51.28,45.4
sans_ombre2d,2,51.31,37.5
sans_ombre2d,2,51.35,37.5
sans_ombre2d,2,51.39,37.5
sans_ombre2d,2,51.43,36.7
sans_ombre2d,2,51.46,35.0
sans_ombre2d,2,51.49,32.7
sans_ombre2d,2,51.52,31.5
sans_ombre2d,2,51.55,27.1
sans_ombre2d,2,51.58,25.3
sans_fumee2d,2,0.89,25.7
sans_volume,2,0.89,33.2
sans_volume,2,9.80,25.4
sans_volume,2,9.83,25.4
sans_volume,2,9.92,25.7
sans_lueurs,2,0.92,45.2
sans_lueurs,2,23.34,25.5
sans_lueurs,2,33.66,25.1
couches2,2,0.91,44.8
couches2,2,10.48,25.8
couches2,2,10.51,25.7
couches2,2,10.54,26.6
couches2,2,10.56,25.4
couches2,2,10.67,28.0
couches2,2,10.69,26.8
couches2,2,10.72,29.3
couches2,2,10.75,28.6
couches2,2,10.78,26.2
couches2,2,10.80,26.2
couches2,2,10.83,26.2
couches2,2,10.88,26.2
couches2,2,10.93,25.9
tout,2,0.91,32.9
