variante,passe,images,fps_median,ms_median,fps_1pct_bas,pire_ms,appels_dessin,cpu_root_med_ms,cpu_root_99_ms,occulteurs,lampes_ombre
temoin,1,6074,103,9.709,63,69.6,175,1.54,2.21,8,2
reference,1,4586,76,13.158,60,29.4,188,2.57,3.27,8,3
sans_lumiere2d,1,4650,77,12.987,58,30.6,187,2.46,3.23,8,2
sans_ombre2d,1,4614,77,12.987,62,33.6,188,2.52,3.22,8,2
sans_fumee2d,1,5083,86,11.628,62,34.1,185,1.86,2.51,8,3
sans_volume,1,5821,97,10.309,73,33.9,184,2.64,3.52,8,3
sans_lueurs,1,4514,75,13.333,44,26.6,183,2.67,4.20,8,3
couches2,1,4872,84,11.905,52,36.5,186,2.85,3.98,8,3
tout,1,5923,100,10.0,68,32.8,180,1.96,2.95,8,2
temoin,2,5543,100,10.0,50,31.8,174,1.70,3.38,8,2
reference,2,4353,75,13.333,42,48.0,186,2.85,4.88,8,3
sans_lumiere2d,2,4438,75,13.333,47,38.2,187,2.76,4.40,8,2
sans_ombre2d,2,4146,75,13.333,23,133.1,188,2.90,6.10,8,2
sans_fumee2d,2,4749,75,13.333,64,25.7,185,2.17,2.88,8,3
sans_volume,2,5165,92,10.87,49,33.2,184,2.93,4.75,8,3
sans_lueurs,2,4399,75,13.333,43,45.2,187,2.89,5.01,8,3
couches2,2,4798,80,12.5,45,44.8,186,2.92,4.14,8,3
tout,2,5749,100,10.0,59,32.9,180,1.96,3.42,8,2
