g     pistolet     fusil        pompe        arbalete     fumiste      incendiaire  sentinelle   occulteur    allumeur     spectre    
0.4   0.18         0.23         0.12         0.23         0.15         0.27         0.19         0.08         0.29         0.26       
0.5   0.19         0.24         0.12         0.24         0.16         0.28         0.19         0.09         0.29         0.27       
0.6   0.20         0.25         0.13         0.25         0.17         0.29         0.20         0.09         0.31         0.27       
0.7   0.21         0.27         0.14         0.27         0.17         0.31         0.22         0.10         0.33         0.29       
0.8   0.23         0.47         0.15         0.29         0.19         0.53         0.25         0.11         0.54         0.48       
1     0.47         0.62         0.19         0.55         0.43         0.73         0.48         0.13         0.92         0.77       
1.2   0.69         0.92         0.47         0.91         0.53         0.95         0.69         0.42         0.93         0.91       
1.4   0.91         0.92         0.65         0.92         0.94         1.00         0.91         0.58         1.00         1.00       
1.6   0.91         1.00         0.92         1.00         0.94         1.00         0.92         0.90         1.00         1.00       
cible 0.52 → g par classe : {"pistolet": 1.05, "fusil": 0.87, "pompe": 1.26, "arbalete": 0.98, "fumiste": 1.18, "incendiaire": 0.8, "sentinelle": 1.04, "occulteur": 1.33, "allumeur": 0.79, "spectre": 0.83}
